Time,ECG [V],Annotation
[21:37:30.656],-0.157,Awake
[21:37:30.660],-0.157,Awake
[21:37:30.664],-0.157,Awake
[21:37:30.668],-0.157,Awake
[21:37:30.672],-0.165,Awake
[21:37:30.676],-0.173,Awake
[21:37:30.680],-0.173,Awake
[21:37:30.684],-0.18,Awake
[21:37:30.688],-0.196,Awake
[21:37:30.692],-0.204,Awake
[21:37:30.696],-0.212,Awake
[21:37:30.700],-0.22,Awake
[21:37:30.704],-0.235,Awake
[21:37:30.708],-0.251,Awake
[21:37:30.712],-0.259,Awake
[21:37:30.716],-0.267,Awake
[21:37:30.720],-0.275,Awake
[21:37:30.724],-0.275,Awake
[21:37:30.728],-0.282,Awake
[21:37:30.732],-0.282,Awake
[21:37:30.736],-0.29,Awake
[21:37:30.740],-0.29,Awake
[21:37:30.744],-0.29,Awake
[21:37:30.748],-0.29,Awake
[21:37:30.752],-0.29,Awake
[21:37:30.756],-0.298,Awake
[21:37:30.760],-0.298,Awake
[21:37:30.764],-0.298,Awake
[21:37:30.768],-0.298,Awake
[21:37:30.772],-0.298,Awake
[21:37:30.776],-0.298,Awake
[21:37:30.780],-0.298,Awake
[21:37:30.784],-0.298,Awake
[21:37:30.788],-0.298,Awake
[21:37:30.792],-0.298,Awake
[21:37:30.796],-0.298,Awake
[21:37:30.800],-0.298,Awake
[21:37:30.804],-0.306,Awake
[21:37:30.808],-0.306,Awake
[21:37:30.812],-0.298,Awake
[21:37:30.816],-0.298,Awake
[21:37:30.820],-0.29,Awake
[21:37:30.824],-0.29,Awake
[21:37:30.828],-0.282,Awake
[21:37:30.832],-0.275,Awake
[21:37:30.836],-0.267,Awake
[21:37:30.840],-0.267,Awake
[21:37:30.844],-0.259,Awake
[21:37:30.848],-0.251,Awake
[21:37:30.852],-0.251,Awake
[21:37:30.856],-0.251,Awake
[21:37:30.860],-0.251,Awake
[21:37:30.864],-0.243,Awake
[21:37:30.868],-0.243,Awake
[21:37:30.872],-0.235,Awake
[21:37:30.876],-0.235,Awake
[21:37:30.880],-0.235,Awake
[21:37:30.884],-0.235,Awake
[21:37:30.888],-0.235,Awake
[21:37:30.892],-0.227,Awake
[21:37:30.896],-0.227,Awake
[21:37:30.900],-0.227,Awake
[21:37:30.904],-0.227,Awake
[21:37:30.908],-0.227,Awake
[21:37:30.912],-0.227,Awake
[21:37:30.916],-0.227,Awake
[21:37:30.920],-0.235,Awake
[21:37:30.924],-0.243,Awake
[21:37:30.928],-0.243,Awake
[21:37:30.932],-0.243,Awake
[21:37:30.936],-0.243,Awake
[21:37:30.940],-0.243,Awake
[21:37:30.944],-0.243,Awake
[21:37:30.948],-0.243,Awake
[21:37:30.952],-0.243,Awake
[21:37:30.956],-0.243,Awake
[21:37:30.960],-0.251,Awake
[21:37:30.964],-0.251,Awake
[21:37:30.968],-0.251,Awake
[21:37:30.972],-0.259,Awake
[21:37:30.976],-0.259,Awake
[21:37:30.980],-0.251,Awake
[21:37:30.984],-0.251,Awake
[21:37:30.988],-0.251,Awake
[21:37:30.992],-0.259,Awake
[21:37:30.996],-0.251,Awake
[21:37:31.000],-0.251,Awake
[21:37:31.004],-0.259,Awake
[21:37:31.008],-0.259,Awake
[21:37:31.012],-0.259,Awake
[21:37:31.016],-0.251,Awake
[21:37:31.020],-0.251,Awake
[21:37:31.024],-0.251,Awake
[21:37:31.028],-0.243,Awake
[21:37:31.032],-0.235,Awake
[21:37:31.036],-0.235,Awake
[21:37:31.040],-0.235,Awake
[21:37:31.044],-0.227,Awake
[21:37:31.048],-0.227,Awake
[21:37:31.052],-0.227,Awake
[21:37:31.056],-0.22,Awake
[21:37:31.060],-0.212,Awake
[21:37:31.064],-0.196,Awake
[21:37:31.068],-0.188,Awake
[21:37:31.072],-0.18,Awake
[21:37:31.076],-0.18,Awake
[21:37:31.080],-0.18,Awake
[21:37:31.084],-0.188,Awake
[21:37:31.088],-0.204,Awake
[21:37:31.092],-0.212,Awake
[21:37:31.096],-0.22,Awake
[21:37:31.100],-0.22,Awake
[21:37:31.104],-0.227,Awake
[21:37:31.108],-0.227,Awake
[21:37:31.112],-0.227,Awake
[21:37:31.116],-0.227,Awake
[21:37:31.120],-0.243,Awake
[21:37:31.124],-0.259,Awake
[21:37:31.128],-0.275,Awake
[21:37:31.132],-0.282,Awake
[21:37:31.136],-0.298,Awake
[21:37:31.140],-0.298,Awake
[21:37:31.144],-0.298,Awake
[21:37:31.148],-0.298,Awake
[21:37:31.152],-0.29,Awake
[21:37:31.156],-0.298,Awake
[21:37:31.160],-0.298,Awake
[21:37:31.164],-0.298,Awake
[21:37:31.168],-0.298,Awake
[21:37:31.172],-0.298,Awake
[21:37:31.176],-0.298,Awake
[21:37:31.180],-0.29,Awake
[21:37:31.184],-0.29,Awake
[21:37:31.188],-0.29,Awake
[21:37:31.192],-0.282,Awake
[21:37:31.196],-0.267,Awake
[21:37:31.200],-0.204,Awake
[21:37:31.204],-0.086,Awake
[21:37:31.208],0.133,Awake
[21:37:31.212],0.455,Awake
[21:37:31.216],0.839,Awake
[21:37:31.220],0.996,Awake
[21:37:31.224],0.996,Awake
[21:37:31.228],0.996,Awake
[21:37:31.232],0.996,Awake
[21:37:31.236],0.878,Awake
[21:37:31.240],0.235,Awake
[21:37:31.244],-0.345,Awake
[21:37:31.248],-0.706,Awake
[21:37:31.252],-0.808,Awake
[21:37:31.256],-0.745,Awake
[21:37:31.260],-0.62,Awake
[21:37:31.264],-0.51,Awake
[21:37:31.268],-0.439,Awake
[21:37:31.272],-0.416,Awake
[21:37:31.276],-0.408,Awake
[21:37:31.280],-0.408,Awake
[21:37:31.284],-0.416,Awake
[21:37:31.288],-0.416,Awake
[21:37:31.292],-0.416,Awake
[21:37:31.296],-0.408,Awake
[21:37:31.300],-0.408,Awake
[21:37:31.304],-0.408,Awake
[21:37:31.308],-0.4,Awake
[21:37:31.312],-0.4,Awake
[21:37:31.316],-0.392,Awake
[21:37:31.320],-0.392,Awake
[21:37:31.324],-0.392,Awake
[21:37:31.328],-0.384,Awake
[21:37:31.332],-0.384,Awake
[21:37:31.336],-0.376,Awake
[21:37:31.340],-0.376,Awake
[21:37:31.344],-0.376,Awake
[21:37:31.348],-0.369,Awake
[21:37:31.352],-0.369,Awake
[21:37:31.356],-0.369,Awake
[21:37:31.360],-0.369,Awake
[21:37:31.364],-0.361,Awake
[21:37:31.368],-0.353,Awake
[21:37:31.372],-0.353,Awake
[21:37:31.376],-0.353,Awake
[21:37:31.380],-0.345,Awake
[21:37:31.384],-0.345,Awake
[21:37:31.388],-0.345,Awake
[21:37:31.392],-0.337,Awake
[21:37:31.396],-0.337,Awake
[21:37:31.400],-0.329,Awake
[21:37:31.404],-0.322,Awake
[21:37:31.408],-0.322,Awake
[21:37:31.412],-0.322,Awake
[21:37:31.416],-0.314,Awake
[21:37:31.420],-0.306,Awake
[21:37:31.424],-0.306,Awake
[21:37:31.428],-0.298,Awake
[21:37:31.432],-0.29,Awake
[21:37:31.436],-0.29,Awake
[21:37:31.440],-0.282,Awake
[21:37:31.444],-0.275,Awake
[21:37:31.448],-0.267,Awake
[21:37:31.452],-0.259,Awake
[21:37:31.456],-0.251,Awake
[21:37:31.460],-0.243,Awake
[21:37:31.464],-0.227,Awake
[21:37:31.468],-0.22,Awake
[21:37:31.472],-0.22,Awake
[21:37:31.476],-0.212,Awake
[21:37:31.480],-0.196,Awake
[21:37:31.484],-0.196,Awake
[21:37:31.488],-0.188,Awake
[21:37:31.492],-0.188,Awake
[21:37:31.496],-0.18,Awake
[21:37:31.500],-0.18,Awake
[21:37:31.504],-0.18,Awake
[21:37:31.508],-0.18,Awake
[21:37:31.512],-0.173,Awake
[21:37:31.516],-0.173,Awake
[21:37:31.520],-0.18,Awake
[21:37:31.524],-0.188,Awake
[21:37:31.528],-0.188,Awake
[21:37:31.532],-0.196,Awake
[21:37:31.536],-0.204,Awake
[21:37:31.540],-0.212,Awake
[21:37:31.544],-0.22,Awake
[21:37:31.548],-0.235,Awake
[21:37:31.552],-0.243,Awake
[21:37:31.556],-0.259,Awake
[21:37:31.560],-0.267,Awake
[21:37:31.564],-0.275,Awake
[21:37:31.568],-0.282,Awake
[21:37:31.572],-0.29,Awake
[21:37:31.576],-0.298,Awake
[21:37:31.580],-0.298,Awake
[21:37:31.584],-0.298,Awake
[21:37:31.588],-0.306,Awake
[21:37:31.592],-0.306,Awake
[21:37:31.596],-0.306,Awake
[21:37:31.600],-0.314,Awake
[21:37:31.604],-0.314,Awake
[21:37:31.608],-0.314,Awake
[21:37:31.612],-0.314,Awake
[21:37:31.616],-0.314,Awake
[21:37:31.620],-0.314,Awake
[21:37:31.624],-0.314,Awake
[21:37:31.628],-0.314,Awake
[21:37:31.632],-0.314,Awake
[21:37:31.636],-0.314,Awake
[21:37:31.640],-0.322,Awake
[21:37:31.644],-0.314,Awake
[21:37:31.648],-0.314,Awake
[21:37:31.652],-0.314,Awake
[21:37:31.656],-0.314,Awake
[21:37:31.660],-0.314,Awake
[21:37:31.664],-0.306,Awake
[21:37:31.668],-0.306,Awake
[21:37:31.672],-0.306,Awake
[21:37:31.676],-0.306,Awake
[21:37:31.680],-0.298,Awake
[21:37:31.684],-0.306,Awake
[21:37:31.688],-0.298,Awake
[21:37:31.692],-0.29,Awake
[21:37:31.696],-0.282,Awake
[21:37:31.700],-0.282,Awake
[21:37:31.704],-0.275,Awake
[21:37:31.708],-0.275,Awake
[21:37:31.712],-0.267,Awake
[21:37:31.716],-0.259,Awake
[21:37:31.720],-0.259,Awake
[21:37:31.724],-0.251,Awake
[21:37:31.728],-0.251,Awake
[21:37:31.732],-0.243,Awake
[21:37:31.736],-0.243,Awake
[21:37:31.740],-0.243,Awake
[21:37:31.744],-0.243,Awake
[21:37:31.748],-0.235,Awake
[21:37:31.752],-0.235,Awake
[21:37:31.756],-0.243,Awake
[21:37:31.760],-0.243,Awake
[21:37:31.764],-0.235,Awake
[21:37:31.768],-0.235,Awake
[21:37:31.772],-0.243,Awake
[21:37:31.776],-0.243,Awake
[21:37:31.780],-0.243,Awake
[21:37:31.784],-0.243,Awake
[21:37:31.788],-0.251,Awake
[21:37:31.792],-0.251,Awake
[21:37:31.796],-0.251,Awake
[21:37:31.800],-0.251,Awake
[21:37:31.804],-0.251,Awake
[21:37:31.808],-0.259,Awake
[21:37:31.812],-0.259,Awake
[21:37:31.816],-0.259,Awake
[21:37:31.820],-0.259,Awake
[21:37:31.824],-0.259,Awake
[21:37:31.828],-0.259,Awake
[21:37:31.832],-0.259,Awake
[21:37:31.836],-0.259,Awake
[21:37:31.840],-0.259,Awake
[21:37:31.844],-0.259,Awake
[21:37:31.848],-0.259,Awake
[21:37:31.852],-0.259,Awake
[21:37:31.856],-0.259,Awake
[21:37:31.860],-0.259,Awake
[21:37:31.864],-0.259,Awake
[21:37:31.868],-0.259,Awake
[21:37:31.872],-0.267,Awake
[21:37:31.876],-0.259,Awake
[21:37:31.880],-0.259,Awake
[21:37:31.884],-0.259,Awake
[21:37:31.888],-0.251,Awake
[21:37:31.892],-0.251,Awake
[21:37:31.896],-0.235,Awake
[21:37:31.900],-0.227,Awake
[21:37:31.904],-0.227,Awake
[21:37:31.908],-0.227,Awake
[21:37:31.912],-0.227,Awake
[21:37:31.916],-0.22,Awake
[21:37:31.920],-0.22,Awake
[21:37:31.924],-0.212,Awake
[21:37:31.928],-0.212,Awake
[21:37:31.932],-0.204,Awake
[21:37:31.936],-0.188,Awake
[21:37:31.940],-0.18,Awake
[21:37:31.944],-0.18,Awake
[21:37:31.948],-0.18,Awake
[21:37:31.952],-0.18,Awake
[21:37:31.956],-0.196,Awake
[21:37:31.960],-0.196,Awake
[21:37:31.964],-0.212,Awake
[21:37:31.968],-0.212,Awake
[21:37:31.972],-0.22,Awake
[21:37:31.976],-0.22,Awake
[21:37:31.980],-0.22,Awake
[21:37:31.984],-0.22,Awake
[21:37:31.988],-0.235,Awake
[21:37:31.992],-0.251,Awake
[21:37:31.996],-0.267,Awake
[21:37:32.000],-0.275,Awake
[21:37:32.004],-0.29,Awake
[21:37:32.008],-0.298,Awake
[21:37:32.012],-0.298,Awake
[21:37:32.016],-0.29,Awake
[21:37:32.020],-0.298,Awake
[21:37:32.024],-0.298,Awake
[21:37:32.028],-0.298,Awake
[21:37:32.032],-0.298,Awake
[21:37:32.036],-0.298,Awake
[21:37:32.040],-0.298,Awake
[21:37:32.044],-0.298,Awake
[21:37:32.048],-0.29,Awake
[21:37:32.052],-0.29,Awake
[21:37:32.056],-0.29,Awake
[21:37:32.060],-0.29,Awake
[21:37:32.064],-0.275,Awake
[21:37:32.068],-0.243,Awake
[21:37:32.072],-0.165,Awake
[21:37:32.076],-0.008,Awake
[21:37:32.080],0.267,Awake
[21:37:32.084],0.62,Awake
[21:37:32.088],0.996,Awake
[21:37:32.092],0.996,Awake
[21:37:32.096],0.996,Awake
[21:37:32.100],0.996,Awake
[21:37:32.104],0.996,Awake
[21:37:32.108],0.714,Awake
[21:37:32.112],0.063,Awake
[21:37:32.116],-0.463,Awake
[21:37:32.120],-0.745,Awake
[21:37:32.124],-0.784,Awake
[21:37:32.128],-0.69,Awake
[21:37:32.132],-0.557,Awake
[21:37:32.136],-0.463,Awake
[21:37:32.140],-0.416,Awake
[21:37:32.144],-0.408,Awake
[21:37:32.148],-0.408,Awake
[21:37:32.152],-0.416,Awake
[21:37:32.156],-0.424,Awake
[21:37:32.160],-0.424,Awake
[21:37:32.164],-0.416,Awake
[21:37:32.168],-0.408,Awake
[21:37:32.172],-0.408,Awake
[21:37:32.176],-0.408,Awake
[21:37:32.180],-0.4,Awake
[21:37:32.184],-0.392,Awake
[21:37:32.188],-0.4,Awake
[21:37:32.192],-0.4,Awake
[21:37:32.196],-0.392,Awake
[21:37:32.200],-0.384,Awake
[21:37:32.204],-0.384,Awake
[21:37:32.208],-0.376,Awake
[21:37:32.212],-0.376,Awake
[21:37:32.216],-0.369,Awake
[21:37:32.220],-0.369,Awake
[21:37:32.224],-0.369,Awake
[21:37:32.228],-0.361,Awake
[21:37:32.232],-0.353,Awake
[21:37:32.236],-0.353,Awake
[21:37:32.240],-0.353,Awake
[21:37:32.244],-0.353,Awake
[21:37:32.248],-0.345,Awake
[21:37:32.252],-0.337,Awake
[21:37:32.256],-0.337,Awake
[21:37:32.260],-0.337,Awake
[21:37:32.264],-0.337,Awake
[21:37:32.268],-0.329,Awake
[21:37:32.272],-0.329,Awake
[21:37:32.276],-0.329,Awake
[21:37:32.280],-0.322,Awake
[21:37:32.284],-0.314,Awake
[21:37:32.288],-0.314,Awake
[21:37:32.292],-0.314,Awake
[21:37:32.296],-0.306,Awake
[21:37:32.300],-0.298,Awake
[21:37:32.304],-0.29,Awake
[21:37:32.308],-0.29,Awake
[21:37:32.312],-0.282,Awake
[21:37:32.316],-0.275,Awake
[21:37:32.320],-0.267,Awake
[21:37:32.324],-0.259,Awake
[21:37:32.328],-0.251,Awake
[21:37:32.332],-0.235,Awake
[21:37:32.336],-0.227,Awake
[21:37:32.340],-0.227,Awake
[21:37:32.344],-0.212,Awake
[21:37:32.348],-0.204,Awake
[21:37:32.352],-0.196,Awake
[21:37:32.356],-0.188,Awake
[21:37:32.360],-0.18,Awake
[21:37:32.364],-0.173,Awake
[21:37:32.368],-0.173,Awake
[21:37:32.372],-0.173,Awake
[21:37:32.376],-0.173,Awake
[21:37:32.380],-0.173,Awake
[21:37:32.384],-0.173,Awake
[21:37:32.388],-0.173,Awake
[21:37:32.392],-0.18,Awake
[21:37:32.396],-0.18,Awake
[21:37:32.400],-0.18,Awake
[21:37:32.404],-0.188,Awake
[21:37:32.408],-0.196,Awake
[21:37:32.412],-0.204,Awake
[21:37:32.416],-0.212,Awake
[21:37:32.420],-0.227,Awake
[21:37:32.424],-0.235,Awake
[21:37:32.428],-0.243,Awake
[21:37:32.432],-0.251,Awake
[21:37:32.436],-0.259,Awake
[21:37:32.440],-0.275,Awake
[21:37:32.444],-0.275,Awake
[21:37:32.448],-0.275,Awake
[21:37:32.452],-0.282,Awake
[21:37:32.456],-0.29,Awake
[21:37:32.460],-0.29,Awake
[21:37:32.464],-0.29,Awake
[21:37:32.468],-0.29,Awake
[21:37:32.472],-0.298,Awake
[21:37:32.476],-0.298,Awake
[21:37:32.480],-0.298,Awake
[21:37:32.484],-0.298,Awake
[21:37:32.488],-0.298,Awake
[21:37:32.492],-0.298,Awake
[21:37:32.496],-0.298,Awake
[21:37:32.500],-0.29,Awake
[21:37:32.504],-0.298,Awake
[21:37:32.508],-0.298,Awake
[21:37:32.512],-0.29,Awake
[21:37:32.516],-0.29,Awake
[21:37:32.520],-0.29,Awake
[21:37:32.524],-0.29,Awake
[21:37:32.528],-0.29,Awake
[21:37:32.532],-0.29,Awake
[21:37:32.536],-0.29,Awake
[21:37:32.540],-0.29,Awake
[21:37:32.544],-0.282,Awake
[21:37:32.548],-0.275,Awake
[21:37:32.552],-0.275,Awake
[21:37:32.556],-0.282,Awake
[21:37:32.560],-0.282,Awake
[21:37:32.564],-0.275,Awake
[21:37:32.568],-0.267,Awake
[21:37:32.572],-0.267,Awake
[21:37:32.576],-0.267,Awake
[21:37:32.580],-0.267,Awake
[21:37:32.584],-0.259,Awake
[21:37:32.588],-0.259,Awake
[21:37:32.592],-0.259,Awake
[21:37:32.596],-0.251,Awake
[21:37:32.600],-0.243,Awake
[21:37:32.604],-0.243,Awake
[21:37:32.608],-0.243,Awake
[21:37:32.612],-0.243,Awake
[21:37:32.616],-0.235,Awake
[21:37:32.620],-0.235,Awake
[21:37:32.624],-0.243,Awake
[21:37:32.628],-0.235,Awake
[21:37:32.632],-0.235,Awake
[21:37:32.636],-0.235,Awake
[21:37:32.640],-0.243,Awake
[21:37:32.644],-0.243,Awake
[21:37:32.648],-0.235,Awake
[21:37:32.652],-0.235,Awake
[21:37:32.656],-0.243,Awake
[21:37:32.660],-0.243,Awake
[21:37:32.664],-0.243,Awake
[21:37:32.668],-0.243,Awake
[21:37:32.672],-0.243,Awake
[21:37:32.676],-0.243,Awake
[21:37:32.680],-0.243,Awake
[21:37:32.684],-0.243,Awake
[21:37:32.688],-0.251,Awake
[21:37:32.692],-0.251,Awake
[21:37:32.696],-0.251,Awake
[21:37:32.700],-0.251,Awake
[21:37:32.704],-0.251,Awake
[21:37:32.708],-0.251,Awake
[21:37:32.712],-0.251,Awake
[21:37:32.716],-0.243,Awake
[21:37:32.720],-0.243,Awake
[21:37:32.724],-0.251,Awake
[21:37:32.728],-0.251,Awake
[21:37:32.732],-0.251,Awake
[21:37:32.736],-0.251,Awake
[21:37:32.740],-0.251,Awake
[21:37:32.744],-0.251,Awake
[21:37:32.748],-0.251,Awake
[21:37:32.752],-0.251,Awake
[21:37:32.756],-0.251,Awake
[21:37:32.760],-0.251,Awake
[21:37:32.764],-0.251,Awake
[21:37:32.768],-0.251,Awake
[21:37:32.772],-0.251,Awake
[21:37:32.776],-0.243,Awake
[21:37:32.780],-0.235,Awake
[21:37:32.784],-0.227,Awake
[21:37:32.788],-0.227,Awake
[21:37:32.792],-0.22,Awake
[21:37:32.796],-0.22,Awake
[21:37:32.800],-0.22,Awake
[21:37:32.804],-0.22,Awake
[21:37:32.808],-0.22,Awake
[21:37:32.812],-0.212,Awake
[21:37:32.816],-0.196,Awake
[21:37:32.820],-0.188,Awake
[21:37:32.824],-0.18,Awake
[21:37:32.828],-0.18,Awake
[21:37:32.832],-0.173,Awake
[21:37:32.836],-0.18,Awake
[21:37:32.840],-0.188,Awake
[21:37:32.844],-0.196,Awake
[21:37:32.848],-0.204,Awake
[21:37:32.852],-0.212,Awake
[21:37:32.856],-0.212,Awake
[21:37:32.860],-0.212,Awake
[21:37:32.864],-0.212,Awake
[21:37:32.868],-0.22,Awake
[21:37:32.872],-0.235,Awake
[21:37:32.876],-0.243,Awake
[21:37:32.880],-0.259,Awake
[21:37:32.884],-0.275,Awake
[21:37:32.888],-0.29,Awake
[21:37:32.892],-0.29,Awake
[21:37:32.896],-0.29,Awake
[21:37:32.900],-0.29,Awake
[21:37:32.904],-0.298,Awake
[21:37:32.908],-0.298,Awake
[21:37:32.912],-0.298,Awake
[21:37:32.916],-0.298,Awake
[21:37:32.920],-0.298,Awake
[21:37:32.924],-0.298,Awake
[21:37:32.928],-0.298,Awake
[21:37:32.932],-0.29,Awake
[21:37:32.936],-0.29,Awake
[21:37:32.940],-0.29,Awake
[21:37:32.944],-0.282,Awake
[21:37:32.948],-0.282,Awake
[21:37:32.952],-0.243,Awake
[21:37:32.956],-0.173,Awake
[21:37:32.960],-0.008,Awake
[21:37:32.964],0.259,Awake
[21:37:32.968],0.62,Awake
[21:37:32.972],0.996,Awake
[21:37:32.976],0.996,Awake
[21:37:32.980],0.996,Awake
[21:37:32.984],0.996,Awake
[21:37:32.988],0.996,Awake
[21:37:32.992],0.729,Awake
[21:37:32.996],0.071,Awake
[21:37:33.000],-0.455,Awake
[21:37:33.004],-0.729,Awake
[21:37:33.008],-0.769,Awake
[21:37:33.012],-0.659,Awake
[21:37:33.016],-0.525,Awake
[21:37:33.020],-0.439,Awake
[21:37:33.024],-0.4,Awake
[21:37:33.028],-0.4,Awake
[21:37:33.032],-0.416,Awake
[21:37:33.036],-0.424,Awake
[21:37:33.040],-0.431,Awake
[21:37:33.044],-0.431,Awake
[21:37:33.048],-0.424,Awake
[21:37:33.052],-0.416,Awake
[21:37:33.056],-0.416,Awake
[21:37:33.060],-0.416,Awake
[21:37:33.064],-0.408,Awake
[21:37:33.068],-0.408,Awake
[21:37:33.072],-0.408,Awake
[21:37:33.076],-0.4,Awake
[21:37:33.080],-0.4,Awake
[21:37:33.084],-0.392,Awake
[21:37:33.088],-0.392,Awake
[21:37:33.092],-0.392,Awake
[21:37:33.096],-0.384,Awake
[21:37:33.100],-0.384,Awake
[21:37:33.104],-0.376,Awake
[21:37:33.108],-0.376,Awake
